date,rank,song,artist,last-week,peak-rank,weeks-on-board
2021/3/20,77,The Business,Tiesto,81,77,3
2021/3/20,78,Almost Maybes,Jordan Davis,84,78,7
2021/3/20,79,Quicksand,Morray,83,79,5
2021/3/20,80,Made For You,Jake Owen,88,80,3
2021/3/20,81,Lifestyle,Jason Derulo Featuring Adam Levine,71,71,5
2021/3/20,82,Breaking Up Was Easy In The 90's,Sam Hunt,92,82,2
2021/3/20,83,Bandido,Myke Towers & Juhn,82,82,5
2021/3/20,84,Hello,Pop Smoke Featuring A Boogie Wit da Hoodie,85,84,3
2021/3/20,85,Pick Up Your Feelings,Jazmine Sullivan,95,85,7
2021/3/20,86,Opp Stoppa,YBN Nahmir Featuring 21 Savage,80,78,5
2021/3/20,87,Neighbors,Pooh Shiesty Featuring BIG30,76,51,5
2021/3/20,88,Glad You Exist,Dan + Shay,91,63,5
2021/3/20,89,Nobody,Dylan Scott,96,89,2
2021/3/20,90,Drankin N Smokin,Future & Lil Uzi Vert,94,31,8
2021/3/20,91,Finesse Out The Gang Way,Lil Durk Featuring Lil Baby,79,39,6
2021/3/20,92,Still Trappin',Lil Durk & King Von,86,53,11
2021/3/20,93,Moonwalking In Calabasas,DDG,87,81,11
2021/3/20,94,Tyler Herro,Jack Harlow,78,34,20
2021/3/20,95,Somebody's Problem,Morgan Wallen,93,25,13
2021/3/20,96,Cover Me Up,Morgan Wallen,97,52,10
2021/3/20,97,Life's A Mess II,"Juice WRLD, Clever & Post Malone",,97,1
2021/3/20,98,Gone,Dierks Bentley,99,98,2
2021/3/20,99,AP,Pop Smoke,64,64,2
2021/3/20,100,Lil Bit,Nelly & Florida Georgia Line,,100,1
2021/3/27,1,Up,Cardi B,6,1,6
2021/3/27,2,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),4,2,2
2021/3/27,3,Drivers License,Olivia Rodrigo,5,1,10
2021/3/27,4,What's Next,Drake,1,1,2
2021/3/27,5,Save Your Tears,The Weeknd,7,4,14
2021/3/27,6,Blinding Lights,The Weeknd,8,1,67
2021/3/27,7,Levitating,Dua Lipa Featuring DaBaby,13,5,24
2021/3/27,8,Mood,24kGoldn Featuring iann dior,10,1,32
2021/3/27,9,34+35,Ariana Grande,9,2,20
2021/3/27,10,Wants And Needs,Drake Featuring Lil Baby,2,2,2
2021/3/27,11,Go Crazy,Chris Brown & Young Thug,11,3,45
2021/3/27,12,What You Know Bout Love,Pop Smoke,12,9,28
2021/3/27,13,Calling My Phone,Lil Tjay Featuring 6LACK,14,3,5
2021/3/27,14,Back In Blood,Pooh Shiesty Featuring Lil Durk,16,13,11
2021/3/27,15,Therefore I Am,Billie Eilish,17,2,19
2021/3/27,16,Streets,Doja Cat,18,16,10
2021/3/27,17,Positions,Ariana Grande,15,1,21
2021/3/27,18,You're Mines Still,Yung Bleu Featuring Drake,21,18,15
2021/3/27,19,You Broke Me First.,Tate McRae,20,17,30
2021/3/27,20,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,25,15,9
2021/3/27,21,Best Friend,Saweetie Featuring Doja Cat,22,21,10
2021/3/27,22,Dakiti,Bad Bunny & Jhay Cortez,23,5,20
2021/3/27,23,On Me,Lil Baby,27,23,15
2021/3/27,24,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,24,6,37
2021/3/27,25,Astronaut In The Ocean,Masked Wolf,37,25,5
2021/3/27,26,No More Parties,Coi Leray Featuring Lil Durk,39,26,6
2021/3/27,27,Good Days,SZA,19,9,12
2021/3/27,28,My Ex's Best Friend,Machine Gun Kelly X blackbear,28,21,31
2021/3/27,29,What's Your Country Song,Thomas Rhett,30,29,13
2021/3/27,30,Heartbreak Anniversary,Giveon,52,30,5
2021/3/27,31,Lemon Pepper Freestyle,Drake Featuring Rick Ross,3,3,2
2021/3/27,32,Put Your Records On,Ritt Momney,35,30,22
2021/3/27,33,The Good Ones,Gabby Barrett,32,32,12
2021/3/27,34,Dynamite,BTS,43,1,30
2021/3/27,35,Starting Over,Chris Stapleton,41,25,29
2021/3/27,36,Street Runner,Rod Wave,,36,1
2021/3/27,37,Anyone,Justin Bieber,38,6,11
2021/3/27,38,Just The Way,Parmalee x Blanco Brown,31,31,12
2021/3/27,39,Willow,Taylor Swift,42,1,14
2021/3/27,40,Without You,The Kid LAROI,44,34,15
2021/3/27,41,Good Time,Niko Moon,33,20,24
2021/3/27,42,Cry Baby,Megan Thee Stallion Featuring DaBaby,45,28,15
2021/3/27,43,Telepatia,Kali Uchis,40,39,4
2021/3/27,44,Better Together,Luke Combs,36,15,24
2021/3/27,45,Whoopty,CJ,29,10,19
2021/3/27,46,My Head And My Heart,Ava Max,47,45,6
2021/3/27,47,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,54,47,2
2021/3/27,48,Damage,H.E.R.,50,44,14
2021/3/27,49,Long Live,Florida Georgia Line,51,48,11
2021/3/27,50,Throat Baby (Go Baby),BRS Kash,46,24,22
2021/3/27,51,Time Today,Moneybagg Yo,53,37,6
2021/3/27,52,We're Good,Dua Lipa,56,49,5
2021/3/27,53,Down To One,Luke Bryan,48,36,12
2021/3/27,54,Lady,Brett Young,55,54,10
2021/3/27,55,Track Star,Mooski,60,55,4
2021/3/27,56,Heat Waves,Glass Animals,57,56,9
2021/3/27,57,Goosebumps,Travis Scott & HVME,58,56,9
2021/3/27,58,Real As It Gets,Lil Baby Featuring EST Gee,34,34,2
2021/3/27,59,Hold On,Justin Bieber,26,26,2
2021/3/27,60,Monsters,All Time Low Featuring Demi Lovato & blackbear ,59,55,12
2021/3/27,61,Forever After All,Luke Combs,67,2,21
2021/3/27,62,Buss It,Erica Banks,61,47,10
2021/3/27,63,Hell Of A View,Eric Church,68,63,10
2021/3/27,64,Body,Megan Thee Stallion,63,12,17
2021/3/27,65,Momma's House,Dustin Lynch,62,62,10
2021/3/27,66,Wasted On You,Morgan Wallen,64,9,10
2021/3/27,67,Somebody Like That,Tenille Arts,71,67,9
2021/3/27,68,La Noche de Anoche,Bad Bunny & Rosalia,66,53,8
2021/3/27,69,The Business,Tiesto,77,69,4
2021/3/27,70,On The Ground,ROSE,,70,1
2021/3/27,71,Masterpiece,DaBaby,73,55,8
2021/3/27,72,Girl Like Me,Black Eyed Peas X Shakira,70,67,10
2021/3/27,73,Almost Maybes,Jordan Davis,78,73,8
2021/3/27,74,Quicksand,Morray,79,74,6
2021/3/27,75,Pick Up Your Feelings,Jazmine Sullivan,85,75,8
2021/3/27,76,Breaking Up Was Easy In The 90's,Sam Hunt,82,76,3
2021/3/27,77,Made For You,Jake Owen,80,77,4
2021/3/27,78,You Got It,VEDO,75,75,12
2021/3/27,79,Lost,NF Featuring Hopsin,,79,1
2021/3/27,80,Sand In My Boots,Morgan Wallen,72,32,10
2021/3/27,81,Beers And Sunshine,Darius Rucker,69,42,14
2021/3/27,82,One Too Many,Keith Urban Duet With P!nk,76,62,14
2021/3/27,83,Follow You,Imagine Dragons,,83,1
2021/3/27,84,Baila Conmigo,Selena Gomez With Rauw Alejandro,,74,2
2021/3/27,85,Nobody,Dylan Scott,89,85,3
2021/3/27,86,Glad You Exist,Dan + Shay,88,63,6
2021/3/27,87,Like I Want You,Giveon,,87,4
2021/3/27,88,Daywalker!,Machine Gun Kelly & CORPSE,,88,1
2021/3/27,89,Hello,Pop Smoke Featuring A Boogie Wit da Hoodie,84,84,4
2021/3/27,90,Settling Down,Miranda Lambert,,90,1
2021/3/27,91,Bandido,Myke Towers & Juhn,83,82,6
2021/3/27,92,Neighbors,Pooh Shiesty Featuring BIG30,87,51,6
2021/3/27,93,Drankin N Smokin,Future & Lil Uzi Vert,90,31,9
2021/3/27,94,Hellcats & Trackhawks,Lil Durk,74,74,2
2021/3/27,95,Opp Stoppa,YBN Nahmir Featuring 21 Savage,86,78,6
2021/3/27,96,Still Trappin',Lil Durk & King Von,92,53,12
2021/3/27,97,Finesse Out The Gang Way,Lil Durk Featuring Lil Baby,91,39,7
2021/3/27,98,Gone,Dierks Bentley,98,98,3
2021/3/27,99,Lil Bit,Nelly & Florida Georgia Line,100,99,2
2021/3/27,100,Undivided,Tim McGraw & Tyler Hubbard,,76,2
2021/4/3,1,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,,1,1
2021/4/3,2,Up,Cardi B,1,1,7
2021/4/3,3,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2,2,3
2021/4/3,4,Drivers License,Olivia Rodrigo,3,1,11
2021/4/3,5,Save Your Tears,The Weeknd,5,4,15
2021/4/3,6,Blinding Lights,The Weeknd,6,1,68
2021/4/3,7,Levitating,Dua Lipa Featuring DaBaby,7,5,25
2021/4/3,8,What's Next,Drake,4,1,3
2021/4/3,9,What You Know Bout Love,Pop Smoke,12,9,29
2021/4/3,10,Mood,24kGoldn Featuring iann dior,8,1,33
2021/4/3,11,34+35,Ariana Grande,9,2,21
2021/4/3,12,Go Crazy,Chris Brown & Young Thug,11,3,46
2021/4/3,13,Back In Blood,Pooh Shiesty Featuring Lil Durk,14,13,12
2021/4/3,14,Calling My Phone,Lil Tjay Featuring 6LACK,13,3,6
2021/4/3,15,Therefore I Am,Billie Eilish,15,2,20
2021/4/3,16,Anyone,Justin Bieber,37,6,12
2021/4/3,17,Astronaut In The Ocean,Masked Wolf,25,17,6
2021/4/3,18,You're Mines Still,Yung Bleu Featuring Drake,18,18,16
2021/4/3,19,Wants And Needs,Drake Featuring Lil Baby,10,2,3
2021/4/3,20,Hold On,Justin Bieber,59,20,3
2021/4/3,21,Positions,Ariana Grande,17,1,22
2021/4/3,22,You Broke Me First.,Tate McRae,19,17,31
2021/4/3,23,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,20,15,10
2021/4/3,24,Best Friend,Saweetie Featuring Doja Cat,21,21,11
2021/4/3,25,On Me,Lil Baby,23,23,16
2021/4/3,26,Dynamite,BTS,34,1,31
2021/4/3,27,Streets,Doja Cat,16,16,11
2021/4/3,28,Dakiti,Bad Bunny & Jhay Cortez,22,5,21
2021/4/3,29,Heartbreak Anniversary,Giveon,30,29,6
2021/4/3,30,No More Parties,Coi Leray Featuring Lil Durk,26,26,7
2021/4/3,31,My Ex's Best Friend,Machine Gun Kelly X blackbear,28,21,32
2021/4/3,32,Street Runner,Rod Wave,36,32,2
2021/4/3,33,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,24,6,38
2021/4/3,34,Good Days,SZA,27,9,13
2021/4/3,35,What's Your Country Song,Thomas Rhett,29,29,14
2021/4/3,36,Without You,The Kid LAROI,40,34,16
2021/4/3,37,The Good Ones,Gabby Barrett,33,32,13
2021/4/3,38,Whoopty,CJ,45,10,20
2021/4/3,39,Put Your Records On,Ritt Momney,32,30,23
2021/4/3,40,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,47,40,3
2021/4/3,41,Starting Over,Chris Stapleton,35,25,30
2021/4/3,42,Headshot,"Lil Tjay, Polo G & Fivio Foreign",,42,1
2021/4/3,43,As I Am,Justin Bieber Featuring Khalid,,43,1
2021/4/3,44,Telepatia,Kali Uchis,43,39,5
2021/4/3,45,Cry Baby,Megan Thee Stallion Featuring DaBaby,42,28,16
2021/4/3,46,Just The Way,Parmalee x Blanco Brown,38,31,13
2021/4/3,47,Better Together,Luke Combs,44,15,25
2021/4/3,48,My Head And My Heart,Ava Max,46,45,7
2021/4/3,49,Good Time,Niko Moon,41,20,25
2021/4/3,50,Willow,Taylor Swift,39,1,15
2021/4/3,51,We're Good,Dua Lipa,52,49,6
2021/4/3,52,Lady,Brett Young,54,52,11
2021/4/3,53,Track Star,Mooski,55,53,5
2021/4/3,54,Long Live,Florida Georgia Line,49,48,12
2021/4/3,55,Time Today,Moneybagg Yo,51,37,7
2021/4/3,56,Lemon Pepper Freestyle,Drake Featuring Rick Ross,31,3,3
2021/4/3,57,Heat Waves,Glass Animals,56,56,10
2021/4/3,58,Damage,H.E.R.,48,44,15
2021/4/3,59,Goosebumps,Travis Scott & HVME,57,56,10
2021/4/3,60,Down To One,Luke Bryan,53,36,13
2021/4/3,61,Forever After All,Luke Combs,61,2,22
2021/4/3,62,Unstable,Justin Bieber Featuring The Kid LAROI,,62,1
2021/4/3,63,Momma's House,Dustin Lynch,65,62,11
2021/4/3,64,Off My Face,Justin Bieber,,64,1
2021/4/3,65,Hell Of A View,Eric Church,63,63,11
2021/4/3,66,Ghost,Justin Bieber,,66,1
2021/4/3,67,Somebody Like That,Tenille Arts,67,67,10
2021/4/3,68,2 Much,Justin Bieber,,68,1
2021/4/3,69,Real As It Gets,Lil Baby Featuring EST Gee,58,34,3
2021/4/3,70,Monsters,All Time Low Featuring Demi Lovato & blackbear ,60,55,13
2021/4/3,71,Body,Megan Thee Stallion,64,12,18
2021/4/3,72,Buss It,Erica Banks,62,47,11
2021/4/3,73,La Noche de Anoche,Bad Bunny & Rosalia,68,53,9
2021/4/3,74,Masterpiece,DaBaby,71,55,9
2021/4/3,75,The Business,Tiesto,69,69,5
2021/4/3,76,Deserve You,Justin Bieber,,76,1
2021/4/3,77,Wasted On You,Morgan Wallen,66,9,11
2021/4/3,78,Made For You,Jake Owen,77,77,5
2021/4/3,79,Breaking Up Was Easy In The 90's,Sam Hunt,76,76,4
2021/4/3,80,Quicksand,Morray,74,74,7
2021/4/3,81,Die For You,Justin Bieber Featuring Dominic Fike,,81,1
2021/4/3,82,Tombstone,Rod Wave,,82,1
2021/4/3,83,Pick Up Your Feelings,Jazmine Sullivan,75,75,9
2021/4/3,84,Love You Different,Justin Bieber Featuring BEAM,,84,1
2021/4/3,85,Glad You Exist,Dan + Shay,86,63,7
2021/4/3,86,Almost Maybes,Jordan Davis,73,73,9
2021/4/3,87,Loved By You,Justin Bieber Featuring Burna Boy,,87,1
2021/4/3,88,You Got It,VEDO,78,75,13
2021/4/3,89,Girl Like Me,Black Eyed Peas X Shakira,72,67,11
2021/4/3,90,One Too Many,Keith Urban Duet With P!nk,82,62,15
2021/4/3,91,Somebody,Justin Bieber,,91,1
2021/4/3,92,Hello,Pop Smoke Featuring A Boogie Wit da Hoodie,89,84,5
2021/4/3,93,Nobody,Dylan Scott,85,85,4
2021/4/3,94,Famous Friends,Chris Young + Kane Brown,,94,1
2021/4/3,95,Settling Down,Miranda Lambert,90,90,2
2021/4/3,96,Sand In My Boots,Morgan Wallen,80,32,11
2021/4/3,97,Neighbors,Pooh Shiesty Featuring BIG30,92,51,7
2021/4/3,98,Bandido,Myke Towers & Juhn,91,82,7
2021/4/3,99,Drankin N Smokin,Future & Lil Uzi Vert,93,31,10
2021/4/3,100,Beers And Sunshine,Darius Rucker,81,42,15
2021/4/10,1,Montero (Call Me By Your Name),Lil Nas X,,1,1
2021/4/10,2,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,1,1,2
2021/4/10,3,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),3,2,4
2021/4/10,4,Up,Cardi B,2,1,8
2021/4/10,5,Drivers License,Olivia Rodrigo,4,1,12
2021/4/10,6,Save Your Tears,The Weeknd,5,4,16
2021/4/10,7,Levitating,Dua Lipa Featuring DaBaby,7,5,26
2021/4/10,8,Blinding Lights,The Weeknd,6,1,69
2021/4/10,9,Mood,24kGoldn Featuring iann dior,10,1,34
2021/4/10,10,What You Know Bout Love,Pop Smoke,9,9,30
2021/4/10,11,Tombstone,Rod Wave,82,11,2
2021/4/10,12,Astronaut In The Ocean,Masked Wolf,17,12,7
2021/4/10,13,What's Next,Drake,8,1,4
2021/4/10,14,34+35,Ariana Grande,11,2,22
2021/4/10,15,Go Crazy,Chris Brown & Young Thug,12,3,47
2021/4/10,16,Street Runner,Rod Wave,32,16,3
2021/4/10,17,Best Friend,Saweetie Featuring Doja Cat,24,17,12
2021/4/10,18,Calling My Phone,Lil Tjay Featuring 6LACK,14,3,7
2021/4/10,19,Therefore I Am,Billie Eilish,15,2,21
2021/4/10,20,Back In Blood,Pooh Shiesty Featuring Lil Durk,13,13,13
2021/4/10,21,You Broke Me First.,Tate McRae,22,17,32
2021/4/10,22,Richer,Rod Wave Featuring Polo G,,22,1
2021/4/10,23,You're Mines Still,Yung Bleu Featuring Drake,18,18,17
2021/4/10,24,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,23,15,11
2021/4/10,25,Positions,Ariana Grande,21,1,23
2021/4/10,26,On Me,Lil Baby,25,23,17
2021/4/10,27,Dakiti,Bad Bunny & Jhay Cortez,28,5,22
2021/4/10,28,Heartbreak Anniversary,Giveon,29,28,7
2021/4/10,29,My Ex's Best Friend,Machine Gun Kelly X blackbear,31,21,33
2021/4/10,30,Dynamite,BTS,26,1,32
2021/4/10,31,Without You,The Kid LAROI,36,31,17
2021/4/10,32,The Good Ones,Gabby Barrett,37,32,14
2021/4/10,33,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,40,33,4
2021/4/10,34,Wants And Needs,Drake Featuring Lil Baby,19,2,4
2021/4/10,35,Streets,Doja Cat,27,16,12
2021/4/10,36,Anyone,Justin Bieber,16,6,13
2021/4/10,37,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,33,6,39
2021/4/10,38,Whoopty,CJ,38,10,21
2021/4/10,39,No More Parties,Coi Leray Featuring Lil Durk,30,26,8
2021/4/10,40,Good Days,SZA,34,9,14
2021/4/10,41,Starting Over,Chris Stapleton,41,25,31
2021/4/10,42,What's Your Country Song,Thomas Rhett,35,29,15
2021/4/10,43,Put Your Records On,Ritt Momney,39,30,24
2021/4/10,44,Cry Baby,Megan Thee Stallion Featuring DaBaby,45,28,17
2021/4/10,45,Long Live,Florida Georgia Line,54,45,13
2021/4/10,46,Hold On,Justin Bieber,20,20,4
2021/4/10,47,Track Star,Mooski,53,47,6
2021/4/10,48,We're Good,Dua Lipa,51,48,7
2021/4/10,49,Hard For The Next,Moneybagg Yo & Future,,49,1
2021/4/10,50,Heat Waves,Glass Animals,57,50,11
2021/4/10,51,You All Over Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Maren Morris,,51,1
2021/4/10,52,Lady,Brett Young,52,52,12
2021/4/10,53,Telepatia,Kali Uchis,44,39,6
2021/4/10,54,Forever After All,Luke Combs,61,2,23
2021/4/10,55,SoulFly,Rod Wave,,55,1
2021/4/10,56,Goosebumps,Travis Scott & HVME,59,56,11
2021/4/10,57,My Head And My Heart,Ava Max,48,45,8
2021/4/10,58,Time Today,Moneybagg Yo,55,37,8
2021/4/10,59,Willow,Taylor Swift,50,1,16
2021/4/10,60,Just The Way,Parmalee x Blanco Brown,46,31,14
2021/4/10,61,Gone Till November,Rod Wave,,61,1
2021/4/10,62,Momma's House,Dustin Lynch,63,62,12
2021/4/10,63,Don't Forget,Rod Wave,,63,1
2021/4/10,64,Damage,H.E.R.,58,44,16
2021/4/10,65,Blame On You,Rod Wave,,65,1
2021/4/10,66,Somebody Like That,Tenille Arts,67,66,11
2021/4/10,67,Hell Of A View,Eric Church,65,63,12
2021/4/10,68,Headshot,"Lil Tjay, Polo G & Fivio Foreign",42,42,2
2021/4/10,69,Big Purr (Prrdd),Coi Leray & Pooh Shiesty,,69,1
2021/4/10,70,Lemon Pepper Freestyle,Drake Featuring Rick Ross,56,3,4
2021/4/10,71,All I Got,Rod Wave,,71,1
2021/4/10,72,As I Am,Justin Bieber Featuring Khalid,43,43,2
2021/4/10,73,Breaking Up Was Easy In The 90's,Sam Hunt,79,73,5
2021/4/10,74,Down To One,Luke Bryan,60,36,14
2021/4/10,75,Made For You,Jake Owen,78,75,6
2021/4/10,76,Hellcats & Trackhawks,Lil Durk,,74,3
2021/4/10,77,Masterpiece,DaBaby,74,55,10
2021/4/10,78,La Noche de Anoche,Bad Bunny & Rosalia,73,53,10
2021/4/10,79,Wasted On You,Morgan Wallen,77,9,12
2021/4/10,80,Monsters,All Time Low Featuring Demi Lovato & blackbear ,70,55,14
2021/4/10,81,Body,Megan Thee Stallion,71,12,19
2021/4/10,82,Real As It Gets,Lil Baby Featuring EST Gee,69,34,4
2021/4/10,83,Quicksand,Morray,80,74,8
2021/4/10,84,Pick Up Your Feelings,Jazmine Sullivan,83,75,10
2021/4/10,85,Pills & Billz,Rod Wave,,85,1
2021/4/10,86,The Business,Tiesto,75,69,6
2021/4/10,87,Buss It,Erica Banks,72,47,12
2021/4/10,88,How The Game Go,Rod Wave,,88,1
2021/4/10,89,OMDB,Rod Wave,,89,1
2021/4/10,90,Settling Down,Miranda Lambert,95,90,3
2021/4/10,91,Almost Maybes,Jordan Davis,86,73,10
2021/4/10,92,Glad You Exist,Dan + Shay,85,63,8
2021/4/10,93,Clouds,NF,,53,2
2021/4/10,94,What's Love??,Rod Wave,,94,1
2021/4/10,95,One Too Many,Keith Urban Duet With P!nk,90,62,16
2021/4/10,96,Shock Da World,Rod Wave,,96,1
2021/4/10,97,You Got It,VEDO,88,75,14
2021/4/10,98,Sneaky Links,Rod Wave,,98,1
2021/4/10,99,Nobody,Dylan Scott,93,85,5
2021/4/10,100,Girl Like Me,Black Eyed Peas X Shakira,89,67,12
2021/4/17,1,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),3,1,5
2021/4/17,2,Montero (Call Me By Your Name),Lil Nas X,1,1,2
2021/4/17,3,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2,1,3
2021/4/17,4,Up,Cardi B,4,1,9
2021/4/17,5,Drivers License,Olivia Rodrigo,5,1,13
2021/4/17,6,Save Your Tears,The Weeknd,6,4,17
2021/4/17,7,Levitating,Dua Lipa Featuring DaBaby,7,5,27
2021/4/17,8,Deja Vu,Olivia Rodrigo,,8,1
2021/4/17,9,Blinding Lights,The Weeknd,8,1,70
2021/4/17,10,Astronaut In The Ocean,Masked Wolf,12,10,8
2021/4/17,11,Calling My Phone,Lil Tjay Featuring 6LACK,18,3,8
2021/4/17,12,What You Know Bout Love,Pop Smoke,10,9,31
2021/4/17,13,Mood,24kGoldn Featuring iann dior,9,1,35
2021/4/17,14,Best Friend,Saweetie Featuring Doja Cat,17,14,13
2021/4/17,15,34+35,Ariana Grande,14,2,23
2021/4/17,16,Go Crazy,Chris Brown & Young Thug,15,3,48
2021/4/17,17,What's Next,Drake,13,1,5
2021/4/17,18,Back In Blood,Pooh Shiesty Featuring Lil Durk,20,13,14
2021/4/17,19,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,24,15,12
2021/4/17,20,Therefore I Am,Billie Eilish,19,2,22
2021/4/17,21,You Broke Me First.,Tate McRae,21,17,33
2021/4/17,22,Heartbreak Anniversary,Giveon,28,22,8
2021/4/17,23,You're Mines Still,Yung Bleu Featuring Drake,23,18,18
2021/4/17,24,Positions,Ariana Grande,25,1,24
2021/4/17,25,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,33,25,5
2021/4/17,26,Starting Over,Chris Stapleton,41,25,32
2021/4/17,27,On Me,Lil Baby,26,23,18
2021/4/17,28,My Ex's Best Friend,Machine Gun Kelly X blackbear,29,21,34
2021/4/17,29,The Good Ones,Gabby Barrett,32,29,15
2021/4/17,30,Without You,The Kid LAROI,31,30,18
2021/4/17,31,Dakiti,Bad Bunny & Jhay Cortez,27,5,23
2021/4/17,32,Tombstone,Rod Wave,11,11,3
2021/4/17,33,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,37,6,40
2021/4/17,34,No More Parties,Coi Leray Featuring Lil Durk,39,26,9
2021/4/17,35,Good Days,SZA,40,9,15
2021/4/17,36,Track Star,Mooski,47,36,7
2021/4/17,37,What's Your Country Song,Thomas Rhett,42,29,16
2021/4/17,38,Wants And Needs,Drake Featuring Lil Baby,34,2,5
2021/4/17,39,Street Runner,Rod Wave,16,16,4
2021/4/17,40,Cry Baby,Megan Thee Stallion Featuring DaBaby,44,28,18
2021/4/17,41,Streets,Doja Cat,35,16,13
2021/4/17,42,We're Good,Dua Lipa,48,42,8
2021/4/17,43,Put Your Records On,Ritt Momney,43,30,25
2021/4/17,44,Heat Waves,Glass Animals,50,44,12
2021/4/17,45,Forever After All,Luke Combs,54,2,24
2021/4/17,46,Richer,Rod Wave Featuring Polo G,22,22,2
2021/4/17,47,Goosebumps,Travis Scott & HVME,56,47,12
2021/4/17,48,Whoopty,CJ,38,10,22
2021/4/17,49,Time Today,Moneybagg Yo,58,37,9
2021/4/17,50,Run It Up,Lil Tjay Featuring Offset & Moneybagg Yo,,50,1
2021/4/17,51,Telepatia,Kali Uchis,53,39,7
2021/4/17,52,Just The Way,Parmalee x Blanco Brown,60,31,15
2021/4/17,53,Anyone,Justin Bieber,36,6,14
2021/4/17,54,Long Live,Florida Georgia Line,45,45,14
2021/4/17,55,Headshot,"Lil Tjay, Polo G & Fivio Foreign",68,42,3
2021/4/17,56,Dancing With The Devil,Demi Lovato,,56,1
2021/4/17,57,Hold On,Justin Bieber,46,20,5
2021/4/17,58,Lady,Brett Young,52,52,13
2021/4/17,59,Momma's House,Dustin Lynch,62,59,13
2021/4/17,60,Willow,Taylor Swift,59,1,17
2021/4/17,61,Met Him Last Night,Demi Lovato Featuring Ariana Grande,,61,1
2021/4/17,62,Somebody Like That,Tenille Arts,66,62,12
2021/4/17,63,My Head And My Heart,Ava Max,57,45,9
2021/4/17,64,Hell Of A View,Eric Church,67,63,13
2021/4/17,65,Damage,H.E.R.,64,44,17
2021/4/17,66,Made For You,Jake Owen,75,66,7
2021/4/17,67,4 Da Gang,42 Dugg & Roddy Ricch,,67,1
2021/4/17,68,Breaking Up Was Easy In The 90's,Sam Hunt,73,68,6
2021/4/17,69,Hellcats & Trackhawks,Lil Durk,76,69,4
2021/4/17,70,Lemon Pepper Freestyle,Drake Featuring Rick Ross,70,3,5
2021/4/17,71,Settling Down,Miranda Lambert,90,71,4
2021/4/17,72,Masterpiece,DaBaby,77,55,11
2021/4/17,73,Quicksand,Morray,83,73,9
2021/4/17,74,The Business,Tiesto,86,69,7
2021/4/17,75,La Noche de Anoche,Bad Bunny & Rosalia,78,53,11
2021/4/17,76,Hard For The Next,Moneybagg Yo & Future,49,49,2
2021/4/17,77,Down To One,Luke Bryan,74,36,15
2021/4/17,78,Almost Maybes,Jordan Davis,91,73,11
2021/4/17,79,Pick Up Your Feelings,Jazmine Sullivan,84,75,11
2021/4/17,80,Wasted On You,Morgan Wallen,79,9,13
2021/4/17,81,Film Out,BTS,,81,1
2021/4/17,82,Big Purr (Prrdd),Coi Leray & Pooh Shiesty,69,69,2
2021/4/17,83,Real As It Gets,Lil Baby Featuring EST Gee,82,34,5
2021/4/17,84,Body,Megan Thee Stallion,81,12,20
2021/4/17,85,Glad You Exist,Dan + Shay,92,63,9
2021/4/17,86,Monsters,All Time Low Featuring Demi Lovato & blackbear ,80,55,15
2021/4/17,87,You Got It,VEDO,97,75,15
2021/4/17,88,One Too Many,Keith Urban Duet With P!nk,95,62,17
2021/4/17,89,Famous Friends,Chris Young + Kane Brown,,89,2
2021/4/17,90,Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,,90,1
2021/4/17,91,Nobody,Dylan Scott,99,85,6
2021/4/17,92,As I Am,Justin Bieber Featuring Khalid,72,43,3
2021/4/17,93,Lil Bit,Nelly & Florida Georgia Line,,93,3
2021/4/17,94,Drankin N Smokin,Future & Lil Uzi Vert,,31,11
2021/4/17,95,Hello,Pop Smoke Featuring A Boogie Wit da Hoodie,,84,6
2021/4/17,96,Follow You,Imagine Dragons,,83,2
2021/4/17,97,Gone,Dierks Bentley,,97,4
2021/4/17,98,Girl Like Me,Black Eyed Peas X Shakira,100,67,13
2021/4/17,99,Buss It,Erica Banks,87,47,13
2021/4/17,100,Arcade,Duncan Laurence,,100,1
2021/4/24,1,Rapstar,Polo G,,1,1
2021/4/24,2,Montero (Call Me By Your Name),Lil Nas X,2,1,3
